192.168.1.10 - - [19/Mar/2026:07:44:01 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
192.168.1.10 - - [19/Mar/2026:07:44:02 +0000] "GET /css/style.css HTTP/1.1" 200 2891 "http://10.0.0.5/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.10 - - [19/Mar/2026:07:44:02 +0000] "GET /favicon.ico HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.33 - - [19/Mar/2026:07:58:14 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"
192.168.1.33 - - [19/Mar/2026:07:58:15 +0000] "GET /css/style.css HTTP/1.1" 200 2891 "http://10.0.0.5/" "Mozilla/5.0 (X11; Linux x86_64)"
192.168.1.10 - - [19/Mar/2026:08:12:44 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.10 - - [19/Mar/2026:08:12:45 +0000] "GET /css/style.css HTTP/1.1" 304 - "http://10.0.0.5/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.55 - - [19/Mar/2026:08:34:09 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)"
192.168.1.55 - - [19/Mar/2026:08:34:10 +0000] "GET /css/style.css HTTP/1.1" 200 2891 "http://10.0.0.5/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)"
10.13.37.42 - - [19/Mar/2026:09:01:08 +0000] "GET / HTTP/1.1" 200 1240 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:08 +0000] "GET /robots.txt HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:09 +0000] "GET /sitemap.xml HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:10 +0000] "GET /.git/HEAD HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:10 +0000] "GET /.env HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:11 +0000] "GET /backup HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:11 +0000] "GET /backup.zip HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:11 +0000] "GET /config HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
192.168.1.10 - - [19/Mar/2026:07:44:02 +0000] "GET /favicon.ico HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.33 - - [19/Mar/2026:07:58:14 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"
192.168.1.33 - - [19/Mar/2026:07:58:15 +0000] "GET /css/style.css HTTP/1.1" 200 2891 "http://10.0.0.5/" "Mozilla/5.0 (X11; Linux x86_64)"
192.168.1.10 - - [19/Mar/2026:08:12:44 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
10.13.37.42 - - [19/Mar/2026:09:01:12 +0000] "GET /config.php HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:12 +0000] "GET /db.php HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:12 +0000] "GET /includes HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:13 +0000] "GET /install.php HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:13 +0000] "GET /login HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:13 +0000] "GET /login.php HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:14 +0000] "GET /panel HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:14 +0000] "GET /phpmyadmin HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:14 +0000] "GET /phpmyadmin/ HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:15 +0000] "GET /test.php HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:15 +0000] "GET /upload HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:15 +0000] "GET /wp-admin HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:16 +0000] "GET /wp-login.php HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:16 +0000] "GET /admin HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:16 +0000] "GET /admin/ HTTP/1.1" 404 196 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:17 +0000] "GET /admin.php HTTP/1.1" 200 2341 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:22 +0000] "GET /admin.php?file=../../../etc/hosts HTTP/1.1" 200 312 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:28 +0000] "GET /admin.php?file=../../../opt/secret/credentials.env HTTP/1.1" 200 312 "-" "SpectreBot/1.7"
10.13.37.42 - - [19/Mar/2026:09:01:25 +0000] "GET /admin.php?file=../../../etc/apache2/apache2.conf HTTP/1.1" 200 7142 "-" "SpectreBot/1.7"
192.168.1.10 - - [19/Mar/2026:07:44:02 +0000] "GET /favicon.ico HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.33 - - [19/Mar/2026:07:58:14 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"
192.168.1.33 - - [19/Mar/2026:07:58:15 +0000] "GET /css/style.css HTTP/1.1" 200 2891 "http://10.0.0.5/" "Mozilla/5.0 (X11; Linux x86_64)"
192.168.1.10 - - [19/Mar/2026:08:12:44 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.10 - - [19/Mar/2026:10:02:17 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.10 - - [19/Mar/2026:10:02:18 +0000] "GET /css/style.css HTTP/1.1" 304 - "http://10.0.0.5/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.33 - - [19/Mar/2026:10:18:55 +0000] "GET / HTTP/1.1" 200 1240 "-" "Mozilla/5.0 (X11; Linux x86_64)"
